序號,行政區,屬性,機構名稱,機構類型,地址,Lng(TWD97),Lat(TWD97),x,y
72,萬華區,私立,臺北市私立育仁兒童發展中心(兼辦早療服務),日間服務機構,臺北市萬華區萬大路387巷15號,300428.5938,2768323,121.4996719,25.0221405
73,萬華區,私立,臺北市私立育仁啟能中心,日間服務機構,臺北市萬華區柳州街41號四樓,300998.4063,2770134,121.5053864,25.03847122
74,士林區,私立,育成蘭興站,社區日間作業設施,臺北市士林區磺溪街88巷5號一樓,302818.1875,2777899,121.5237198,25.10851097
75,大同區,公設民營,心願工坊,社區日間作業設施,臺北市大同區昌吉街52號八樓,302092.0938,2773167,121.5163422,25.06581688
76,大安區,公設民營,大安工坊,社區日間作業設施,臺北市大安區瑞安街73號三樓,304607.5938,2769024,121.5411072,25.02832413
77,大安區,其他,天生我才大安站,社區日間作業設施,臺北市大安區敦化南路二段200巷16號五樓,305264.5938,2768413,121.5475922,25.02278519
78,中山區,其他,中山工坊,社區日間作業設施,臺北市中山區建國北路二段260、262號3樓,304249.8125,2772637,121.5377045,25.06095505
79,中正區,公設民營,古亭工坊,社區日間作業設施,臺北市中正區羅斯福路二段150號,302801.9063,2768722,121.5232086,25.02566338
80,中正區,其他,夢想工坊,社區日間作業設施,臺北市中正區南昌路二段192號五樓之3,302866.5,2768564,121.5238419,25.02423477
81,中正區,私立,星兒工坊,社區日間作業設施,臺北市中正區寧波西街62號三樓,302186.5,2769243,121.517128,25.03038788
82,中正區,私立,肯納和平坊,社區日間作業設施,臺北市中正區和平西路二段6號四樓,301003.0938,2769544,121.5054092,25.0331459
83,內湖區,公設民營,內湖工坊,社區日間作業設施,臺北市內湖區江南街71巷60號,308426.4063,2774133,121.5791626,25.07430649
84,文山區,公設民營,文山工坊,社區日間作業設施,臺北市文山區興隆路四段105巷47號1樓(興隆公宅2區),306847.8125,2764597.5,121.5631256,24.98828125
85,文山區,公設民營,文山工坊,社區日間作業設施,臺北市文山區興隆路四段105巷47號1樓(興隆公宅2區),306847.8125,2764597.5,121.5631256,24.98828125
86,北投區,其他,北投工坊,社區日間作業設施,臺北市北投區石牌路二段99巷9號四樓,302099.9063,2778939,121.5166397,25.11792564
87,北投區,私立,肯納行義坊,社區日間作業設施,臺北市北投區行義路129號,303269.3125,2780148,121.5282822,25.12879944
88,北投區,私立,聖文生樂活工坊,社區日間作業設施,臺北市北投區石牌路二段90巷20號2樓,302179.3125,2778835,121.5174179,25.11698341
89,松山區,公設民營,民生工坊,社區日間作業設施,臺北市松山區敦化北路199巷5號三樓,305646.3125,2772204,121.5515289,25.05699539
90,松山區,公設民營,健康工坊_A處,社區日間作業設施,臺北市松山區健康路399號6樓,307395.9063,2771946,121.5688629,25.05460167
91,松山區,私立,星扶工坊,社區日間作業設施,臺北市松山區八德路四段306號四樓,307247.9063,2771325,121.5673676,25.04899979
92,信義區,私立,心朋友工作坊,社區日間作業設施,臺北市信義區和平東路三段391巷20弄16號,306333.4063,2768194,121.5581741,25.02076912
93,中山區,公設民營,臺北市政府社會局委託財團法人喜憨兒社會福利基金會經營管理中山身障社區長照機構（日間照顧）,身障社區長照機構（日間照顧）,臺北市中山區長安西路5弄2號四樓,302545.75,2771472.75,121.5207748,25.05050468
94,中山區,公設民營,臺北市政府社會局委託財團法人喜憨兒社會福利基金會經營管理中山身障社區長照機構（日間照顧）,身障社區長照機構（日間照顧）,臺北市中山區長安西路5弄2號四樓,302601.3438,2771395.5,121.5213242,25.04980659
95,松山區,公設民營,臺北市政府社會局委託財團法人伊甸社會福利基金會經營管理臺北市民生身障社區長照機構（日間照顧）,身障社區長照機構（日間照顧）,臺北市松山區民生東路五段163之1號七樓,306761,2772437,121.5625839,25.05905724
96,信義區,公設民營,臺北市政府社會局委託財團法人中華民國唐氏症基金會經營管理信義身障社區長照機構（日間照顧）,身障社區長照機構（日間照顧）,臺北市信義區信義路五段15號五樓,307207.9063,2769569,121.5668945,25.03314972
97,文山區,公設民營,興隆會所,精神障礙者會所,臺北市文山區木柵路二段138巷33號1樓,306765.4063,2764570,121.5623093,24.9880352
98,文山區,公設民營,興隆會所,精神障礙者會所,臺北市文山區木柵路二段138巷33號1樓,306765.4063,2764570,121.5623093,24.9880352
99,松山區,其他,真福之家_方案委託,精神障礙者會所,臺北市松山區敦化北路145巷10之2號1樓,305521.1875,2771860,121.5502777,25.05389595
100,萬華區,公設民營,向陽會所,精神障礙者會所,臺北市萬華區青年路152巷20號、22號1樓,300648.5,2768192,121.5018463,25.02095222
101,北投區,公設民營,臺北市士林、北投區身心障礙者資源中心,身心障礙者資源中心,臺北市北投區奇岩里0鄰三合街一段119號7樓,300814.8125,2779889.75,121.5039291,25.12655258
102,北投區,公設民營,臺北市士林、北投區身心障礙者資源中心,身心障礙者資源中心,臺北市北投區奇岩里0鄰三合街一段119號7樓,300814.8125,2779889.75,121.5039291,25.12655258
103,中山區,公設民營,臺北市大同、中山區身心障礙者資源中心,身心障礙者資源中心,臺北市中山區長安西路5巷2號,302545.8125,2771473,121.5207748,25.05050659
104,中正區,公設民營,臺北市中正、萬華區身心障礙者資源中心,身心障礙者資源中心,臺北市中正區南門里延平南路207號3樓,301230.4688,2769516,121.5076675,25.0328846
105,中正區,公設民營,臺北市中正、萬華區身心障礙者資源中心,身心障礙者資源中心,臺北市中正區南門里延平南路207號3樓,301230.4688,2769516,121.5076675,25.03288651
106,文山區,其他,大安、文山區身心障礙者資源中心,身心障礙者資源中心,臺北市文山區辛亥路五段94號一樓,305831.6875,2765716,121.5531082,24.9984169
107,內湖區,公設民營,臺北市內湖、松山區身心障礙者資源中心,身心障礙者資源中心,臺北市內湖區瑞光路162號2樓之3,308436.2813,2774036.5,121.5792618,25.07343483
108,內湖區,公設民營,臺北市內湖、松山區身心障礙者資源中心,身心障礙者資源中心,臺北市內湖區瑞光路162號2樓之3,308436.2813,2774036.5,121.5792618,25.07343483
109,信義區,其他,臺北市信義、南港區身心障礙者資源中心,身心障礙者資源中心,臺北市信義區廣居里3鄰忠孝東路五段242號7樓,307752.5,2770419,121.5723267,25.040802
110,文山區,私立,臺北市私立活泉之家,福利服務中心,臺北市文山區萬美街一段55號三樓,307345.3125,2766157,121.5681152,25.00234032
111,大同區,公設民營,臺北市身心障礙者自立生活支持服務中心,福利服務中心,臺北市大同區重慶北路三段347號3樓之2,301859.5938,2774159.5,121.5140762,25.07478523
112,大同區,公設民營,臺北市身心障礙者自立生活支持服務中心,福利服務中心,臺北市大同區重慶北路三段347號3樓之2,301859.5938,2774159.5,121.5140762,25.07478523
113,松山區,私立,臺北市私立八德服務中心,福利服務中心,臺北市松山區八德路三段155巷4弄35號,306060.8125,2771312,121.555603,25.04892731
114,中山區,公設民營,臺北市合宜輔具中心(財團法人第一社會福利基金會承辦),輔具服務中心,臺北市中山區玉門街1號,302518.8125,2773859,121.5205994,25.07204819
115,中山區,公設民營,臺北市西區輔具中心 (財團法人伊甸社會福利基金會承辦),輔具服務中心,臺北市中山區長安西路2號5巷2號2樓,302545.75,2771472.75,121.5207748,25.05050468
116,中山區,公設民營,臺北市西區輔具中心 (財團法人伊甸社會福利基金會承辦),輔具服務中心,臺北市中山區長安西路2號5巷2號2樓,302502.8125,2771397.5,121.5203476,25.04982758
117,信義區,其他,臺北市南區輔具中心 (財團法人第一社會福利基金會承辦),輔具服務中心,臺北市信義區信義路五段150巷310號,307473.4063,2768894,121.5695038,25.0270462
118,士林區,私立,財團法人中華民國自閉症基金會,身心障礙者社區日間活動據點,臺北市士林區中山北路五段841號4樓之2,302981.0938,2777198,121.5253067,25.10217667
119,中山區,私立,中華視障人福利協會,身心障礙者社區日間活動據點,臺北市中山區撫順街6號6樓,302437.0938,2772899,121.5197525,25.06338501
120,文山區,私立,財團法人心路社會福利基金會,身心障礙者社區日間活動據點,臺北市文山區萬和街8號1樓(臺北社區生活支持中心),307305.9063,2766120,121.5677261,25.00200844
121,北投區,私立,中華民國腦性麻痺協會,身心障礙者社區日間活動據點,臺北市北投區大業路166號5樓,300325.3125,2779748,121.4990692,25.12528992
122,松山區,私立,社團法人台北生命勵樂活輔健會,身心障礙者社區日間活動據點,臺北市松山區塔悠路臺北市觀山自行車租借站（塔悠路與民權東路交叉口，民權高架橋下，基六號疏散門進入，左轉直走往大直橋方向，約250公尺之高速公路橋下方彩色貨櫃屋）,307334.5,2772757,121.5682831,25.06192589
123,南港區,私立,財團法人伊甸社會福利基金會(附設台北市私立恩望身心障礙者人力資源服務中心),身心障礙者社區日間活動據點,臺北市南港區忠孝東路六段85號3樓,308993.4063,2771241,121.5846634,25.04817581
124,松山區,私立,社團法人臺北市視障者家長協會,身心障礙者社區日間活動據點,臺北市松山區敦化北路155巷76號4樓,305642.0938,2771908,121.5514755,25.0543232
125,士林區,公立,福志公園,共融式遊戲場,臺北市士林區福林路251巷4弄,303925.9063,2776791.5,121.5346603,25.0984745
126,士林區,公立,福志公園,共融式遊戲場,臺北市士林區福林路251巷4弄,303925.9063,2776791.5,121.5346603,25.0984726
127,士林區,公立,士林4號廣場,共融式遊戲場,臺北市士林區福林路與雨農路交叉口,303482.6875,2776359.25,121.5302506,25.09458733
128,士林區,公立,士林4號廣場,共融式遊戲場,臺北市士林區福林路與雨農路交叉口,303482.6875,2776359.25,121.5302506,25.09458733
129,士林區,公立,兒童新樂園(機械式),共融式遊戲場,臺北市士林區承德路五段55號,301859.9063,2776602,121.5141678,25.09683609
130,士林區,公立,兒童新樂園(非機械式),共融式遊戲場,臺北市士林區承德路五段55號,301859.9063,2776602,121.5141678,25.09683609
131,大同區,公立,樹德公園,共融式遊戲場,臺北市大同區大龍街129號,302068.5625,2773314.75,121.5161133,25.06715202
132,大同區,公立,樹德公園,共融式遊戲場,臺北市大同區大龍街129號,302068.5625,2773314.75,121.5161133,25.06715202
133,大同區,公立,景化公園,共融式遊戲場,臺北市大同區伊寧街9巷(景化街巷弄中),301766.3125,2773090,121.5131073,25.06513214
134,大同區,公立,朝陽公園,共融式遊戲場,臺北市大同區重慶北路二段64巷口,301756.5938,2772042,121.51297,25.05567169
135,大同區,公立,建成公園,共融式遊戲場,臺北市大同區承德路二段臺北市大同區承德路二段35號旁,302308.125,2771946.75,121.5184326,25.0547924
136,大同區,公立,建成公園,共融式遊戲場,臺北市大同區承德路二段臺北市大同區承德路二段35號旁,302308.125,2771946.75,121.5184326,25.05479431
137,大安區,公立,大安國小,共融式遊戲場,臺北市大安區臥龍街129號,305559.8125,2767977,121.550499,25.01883888
138,大安區,公立,和平實驗小學,共融式遊戲場,臺北市大安區敦南街76巷28號,305172,2768184.5,121.546669,25.02072525
