SeqNo,PKTYPE1,ZONE,PKROAD
4,身心障礙專用(機車),中山,龍江路
4,身心障礙專用(機車),大同,民族西路76巷2弄
4,身心障礙專用(機車),內湖,東湖路119巷
4,身心障礙專用(機車),中山,北安路
4,身心障礙專用(機車),中山,長安東路一段
4,身心障礙專用(機車),中山,新生北路二段28巷
4,身心障礙專用(機車),中山,長安西路19巷
4,身心障礙專用(機車),南港,東新街
4,身心障礙專用(機車),南港,東新街
4,身心障礙專用(機車),南港,昆陽街
4,身心障礙專用(機車),南港,興中路56巷
4,身心障礙專用(機車),中山,松江路16巷
4,身心障礙專用(機車),南港,南港路309巷
4,身心障礙專用(機車),南港,南港路309巷
4,身心障礙專用(機車),文山,興隆路二段59巷
4,身心障礙專用(機車),文山,興隆路二段59巷
4,身心障礙專用(機車),中正,羅斯福路四段24巷
4,身心障礙專用(機車),中山,長春路
4,身心障礙專用(機車),大同,重慶南路3段
4,身心障礙專用(機車),中山,民生東路一段23巷
4,身心障礙專用(機車),中山,北安路608巷14弄
4,身心障礙專用(機車),中山,龍江路
4,身心障礙專用(機車),松山,北寧路
4,身心障礙專用(機車),松山,民生東路三段61巷
4,身心障礙專用(機車),松山,民生東路三段61巷
4,身心障礙專用(機車),松山,慶城街
4,身心障礙專用(機車),松山,光復北路60巷
4,身心障礙專用(機車),松山,南京東路五段59巷
4,身心障礙專用(機車),萬華,西園路二段320巷
4,身心障礙專用(機車),萬華,西園路二段320巷
4,身心障礙專用(機車),萬華,"西園路二段320巷
西園路二段320巷"
4,身心障礙專用(機車),萬華,西園路二段320巷55弄
4,身心障礙專用(機車),萬華,西園路二段320巷73弄
4,身心障礙專用(機車),萬華,西園路二段320巷73弄
4,身心障礙專用(機車),萬華,大理街160巷26弄
4,身心障礙專用(機車),松山,光復北路
4,身心障礙專用(機車),松山,光復北路
4,身心障礙專用(機車),松山,市民大道五段
4,身心障礙專用(機車),松山,光復北路11巷
4,身心障礙專用(機車),松山,三民路62巷
4,身心障礙專用(機車),萬華,西藏路125巷
4,身心障礙專用(機車),萬華,西藏路125巷
4,身心障礙專用(機車),萬華,西藏路125巷
4,身心障礙專用(機車),萬華,莒光路
4,身心障礙專用(機車),大同,大龍街91巷
4,身心障礙專用(機車),大同,大龍街91巷
4,身心障礙專用(機車),大安,建國南路一段304巷
4,身心障礙專用(機車),萬華,青年路
4,身心障礙專用(機車),大安,敦化南路一段247巷
4,身心障礙專用(機車),大安,敦化南路一段247巷
4,身心障礙專用(機車),信義,吳興街
4,身心障礙專用(機車),中山,民族東路410巷2弄
4,身心障礙專用(機車),松山,三民路80巷
4,身心障礙專用(機車),中正,中華路一段85巷
4,身心障礙專用(機車),中正,中華路一段85巷
4,身心障礙專用(機車),萬華,成都路
4,身心障礙專用(機車),萬華,成都路
4,身心障礙專用(機車),中山,合江街73巷
4,身心障礙專用(機車),中山,合江街73巷
4,身心障礙專用(機車),中正,懷寧街
4,身心障礙專用(機車),中正,懷寧街
4,身心障礙專用(機車),中正,懷寧街
4,身心障礙專用(機車),中正,重慶南路一段
4,身心障礙專用(機車),信義,虎林街
4,身心障礙專用(機車),中山,復興北路
4,身心障礙專用(機車),信義,永吉路187巷
4,身心障礙專用(機車),信義,松隆路
4,身心障礙專用(機車),信義,松隆路
4,身心障礙專用(機車),松山,寶清路
4,身心障礙專用(機車),松山,新東街20巷
4,身心障礙專用(機車),松山,新東街20巷
4,身心障礙專用(機車),信義,忠孝東路五段743巷
4,身心障礙專用(機車),南港,同德路
4,身心障礙專用(機車),南港,同德路
4,身心障礙專用(機車),南港,同德路
4,身心障礙專用(機車),大安,和平東路三段1巷
4,身心障礙專用(機車),信義,吳興街3巷
4,身心障礙專用(機車),文山,興隆路二段
4,身心障礙專用(機車),文山,興隆路二段
4,身心障礙專用(機車),內湖,成功路四段61巷
4,身心障礙專用(機車),中正,南海路
4,身心障礙專用(機車),中正,
4,身心障礙專用(機車),中正,信陽街
4,身心障礙專用(機車),萬華,環河南路二段250巷25弄
4,身心障礙專用(機車),中正,林森南路11巷
4,身心障礙專用(機車),中正,杭州南路一段
4,身心障礙專用(機車),中正,杭州南路一段
4,身心障礙專用(機車),中正,北平東路
4,身心障礙專用(機車),大安,新生南路三段
4,身心障礙專用(機車),中正,紹興北街
4,身心障礙專用(機車),中正,紹興南街
4,身心障礙專用(機車),中山,新生北路三段
4,身心障礙專用(機車),中山,農安街166巷
4,身心障礙專用(機車),中山,農安街166巷
4,身心障礙專用(機車),中山,松江路
4,身心障礙專用(機車),中山,松江路
4,身心障礙專用(機車),中正,忠孝東路二段134巷
4,身心障礙專用(機車),中正,忠孝東路二段134巷
4,身心障礙專用(機車),文山,
4,身心障礙專用(機車),文山,
4,身心障礙專用(機車),文山,汀洲路四段
4,身心障礙專用(機車),文山,汀洲路四段
4,身心障礙專用(機車),文山,景華街
4,身心障礙專用(機車),大安,瑞安街
4,身心障礙專用(機車),大安,復興南路二段78巷42弄7號
4,身心障礙專用(機車),大安,復興南路二段78巷42弄7號
4,身心障礙專用(機車),大安,復興南路一段122巷
4,身心障礙專用(機車),信義,
4,身心障礙專用(機車),大安,
4,身心障礙專用(機車),大安,安和路一段
4,身心障礙專用(機車),大安,安和路一段
4,身心障礙專用(機車),信義,莊敬路
4,身心障礙專用(機車),萬華,富民路
4,身心障礙專用(機車),萬華,富民路
4,身心障礙專用(機車),松山,南京東路123巷1弄
4,身心障礙專用(機車),信義,松隆路
4,身心障礙專用(機車),信義,松隆路
4,身心障礙專用(機車),松山,八德路四段254巷
4,身心障礙專用(機車),松山,八德路四段254巷
4,身心障礙專用(機車),信義,光復南路473巷11弄
4,身心障礙專用(機車),大同,民族西路
4,身心障礙專用(機車),文山,景文街
4,身心障礙專用(機車),中山,民生東路二段127巷
4,身心障礙專用(機車),內湖,內湖路二段
4,身心障礙專用(機車),中正,詔安街
4,身心障礙專用(機車),文山,開元街
4,身心障礙專用(機車),信義,松信路
4,身心障礙專用(機車),信義,松信路
4,身心障礙專用(機車),大安,泰順街
4,身心障礙專用(機車),松山,敦化北路60巷
4,身心障礙專用(機車),士林,社中街
4,身心障礙專用(機車),中山,林森北路107巷
4,身心障礙專用(機車),大安,和平東路三段
4,身心障礙專用(機車),中山,中山北路二段62巷
